,Compound,Date,Negative,Network,Neutral,Positive,Tweet Text,Tweets Ago
85,-0.1531,Sun Mar 04 15:45:00 +0000 2018,0.046,@FoxNews,0.954,0.0,".@SecretaryRoss: ""We're talking about a total of $9 billion of tariffs. That's about one half of one percent of the economy. So this business that 'the sky is falling' is just silly."" #SundayFutures @MariaBartiromo https://t.co/zHx3P49fKR",86
86,0.4215,Sun Mar 04 15:42:29 +0000 2018,0.0,@FoxNews,0.872,0.128,.@Scaramucci: “I know General Kelly is trying to bring order to the @WhiteHouse but he’s actually creating chaos.” https://t.co/EGrxHgxvtD https://t.co/Vtz5iLWQKn,87
87,0.3612,Sun Mar 04 15:26:08 +0000 2018,0.0,@FoxNews,0.946,0.054,".@TGowdySC: ""This Democrat memo makes me smile. If it were up to @AdamSchiffCA... it would've been a haiku and not a memo because he did everything he could to keep us finding out any of the information that was in either of those memos."" #SundayFutures @MariaBartiromo https://t.co/jvffDSSCIq",88
88,0.4019,Sun Mar 04 15:21:10 +0000 2018,0.0,@FoxNews,0.816,0.184,".@TGowdySC: ""I think we're trending perhaps towards another special counsel."" #SundayFutures @MariaBartiromo https://t.co/nHcL1ViEm5",89
89,0.3182,Sun Mar 04 15:19:40 +0000 2018,0.0,@FoxNews,0.919,0.081,".@TGowdySC: ""I expect the Inspector General to issue a facts-centric fair report. Look at what he's already found - he found the Strzok and Page texts."" #SundayFutures @MariaBartiromo https://t.co/3rKq9qWFAY",90
90,0.0772,Sun Mar 04 15:17:20 +0000 2018,0.0,@FoxNews,0.944,0.056,".@TGowdySC: ""I want to know everything that happened in 2016, and whether Andy McCabe was leaking for or against @HillaryClinton."" #SundayFutures @MariaBartiromo https://t.co/93TmKuctCG",91
91,0.5106,Sun Mar 04 15:11:23 +0000 2018,0.0,@FoxNews,0.798,0.202,".@SecretaryRoss: ""China and Europe talk free trade and they practice protectionism."" #SundayFutures @MariaBartiromo https://t.co/BTaWUtWUYX",92
92,0.1779,Sun Mar 04 15:10:48 +0000 2018,0.066,@FoxNews,0.827,0.107,".@SecretaryRoss: ""The facts are we do have a huge trade deficit. The facts are before we made all of these deals - including admitting China to the @WTO - well into the 1970s, we had trade surpluses."" #SundayFutures @MariaBartiromo https://t.co/ZZYDBwfkGQ",93
93,0.34,Sun Mar 04 15:07:15 +0000 2018,0.0,@FoxNews,0.862,0.138,".@SecretaryRoss: ""As Gen. Mattis and others have said, 'Economic security is national security.'"" #SundayFutures @MariaBartiromo https://t.co/Y4sSqrjmF7",94
94,-0.1531,Sun Mar 04 15:05:30 +0000 2018,0.046,@FoxNews,0.954,0.0,".@SecretaryRoss: ""We're talking about a total of $9 billion of tariffs. That's about one half of one percent of the economy. So this business that 'the sky is falling' is just silly."" #SundayFutures @MariaBartiromo https://t.co/bLSHxVgPXn",95
